mission_id,sum_min,sum_max,dice_count,effect_type,notes
mission_01,2,3,2,sniper,说明书：狙击手
mission_01,4,4,2,commander_extra,车长额外行动
mission_01,5,6,2,infantry_spawn,德军步兵→红格 rid
mission_01,7,8,2,adjacent_infantry_fire,相邻步兵齐射
mission_01,9,9,2,mechanical_failure,机械故障→瘫痪
mission_01,10,10,2,stuka,斯图卡
mission_01,11,12,2,panzer3_spawn,III号→黑格 eid
mission_02,2,5,2,infantry_spawn,任务2：德军步兵→红格
mission_02,6,6,2,road_mine,任务2：公路地雷（AP0）
mission_02,7,8,2,adjacent_infantry_fire,相邻步兵
mission_02,9,9,2,commander_extra,车长额外行动
mission_02,10,10,2,stuka,斯图卡
mission_02,11,12,2,panzer4_spawn,IV号→黑格 eid
mission_03,2,4,2,sniper,任务3：狙击手
mission_03,5,5,2,road_mine,任务3：地雷
mission_03,6,8,2,adjacent_infantry_fire,任务3：相邻步兵
mission_03,9,9,2,commander_extra,车3：车长额外
mission_03,10,10,2,stuka,任务3：斯图卡
mission_03,11,12,2,panzer3_spawn,任务3：III号→eid
mission_04,2,3,2,sniper,任务4：狙击手
mission_04,4,4,2,mechanical_failure,任务4：机械故障
mission_04,5,6,2,infantry_spawn,任务4：步兵→红格
mission_04,7,9,2,adjacent_infantry_fire,任务4：相邻步兵
mission_04,10,10,2,commander_extra,任务4：车长
mission_04,11,12,2,stuka,任务4：斯图卡
mission_05,2,5,2,adjacent_infantry_fire,任务5：2–5 相邻步兵齐射
mission_05,6,9,2,german_truck_move,任务5：6–9 德军卡车沿路推进
mission_05,10,10,2,commander_extra,任务5：10 车长未阵亡则额外行动
mission_05,11,12,2,panzer4_spawn,任务5：11+ 掷1d6 放IV号到黑格 eid
mission_06,2,3,2,sniper,任务6：2–3 狙击手
mission_06,4,5,2,infantry_spawn,任务6：4–5 步兵→红格 rid（不重掷）
mission_06,6,6,2,road_mine,任务6：6 公路地雷（AP0/装甲4）
mission_06,7,9,2,adjacent_infantry_fire,任务6：7–9 相邻步兵齐射
mission_06,10,10,2,commander_extra,任务6：10 车长额外行动（装填/修复/灭火）
mission_06,11,11,2,stuka,任务6：11 斯图卡
mission_06,12,12,2,panzer3_spawn,任务6：12 III号→黑格 eid（不重掷）
